week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10
2026-07-19,Films (English),1,Shipwrecked: Nightmare at Sea,,16600000,1.5,11100000,2
2026-07-19,Films (English),2,Voicemails for Isabelle,,11200000,1.9667,5700000,5
2026-07-19,Films (English),3,Enola Holmes 3,,8400000,1.8,4700000,3
2026-07-19,Films (English),4,Regretting You,,7500000,1.9333,3900000,1
2026-07-19,Films (English),5,Meg 2: The Trench,,7000000,1.9333,3600000,1
2026-07-19,Films (English),6,KPop Demon Hunters,,5700000,1.6667,3400000,57
2026-07-19,Films (English),7,Death on the Nile,,7300000,2.15,3400000,1
2026-07-19,Films (English),8,The Boss Baby,,5400000,1.6333,3300000,27
2026-07-19,Films (English),9,Joy Ride,,5300000,1.6167,3300000,1
2026-07-19,Films (English),10,Sniper: No Nation,,5100000,1.6,3200000,1
2026-07-19,TV (English),1,Little House on the Prairie,Little House on the Prairie: Season 1,65000000,6.6333,9800000,2
2026-07-19,TV (English),2,I Will Find You,I Will Find You: Limited Series,48500000,5.4833,8800000,5
2026-07-19,TV (English),3,The Hawk,The Hawk: Season 1,24700000,5.15,4800000,1
2026-07-19,TV (English),4,Avatar: The Last Airbender,Avatar: The Last Airbender: Season 2,25200000,7.4667,3400000,4
2026-07-19,TV (English),5,Worst Neighbor Ever,Worst Neighbor Ever: Season 1,12500000,3.7667,3300000,3
2026-07-19,TV (English),6,Raw,"Raw: July 13, 2026",5100000,2.0667,2400000,1
2026-07-19,TV (English),7,Salish & Jordan Matter,Salish & Jordan Matter: Season 2,5200000,2.2167,2300000,4
2026-07-19,TV (English),8,The Ultimatum: Marry or Move On,The Ultimatum: Marry or Move On: Season 4,12900000,6.8167,1900000,1
2026-07-19,TV (English),9,Avatar: The Last Airbender,Avatar: The Last Airbender: Season 1,12200000,7.25,1700000,10
2026-07-19,TV (English),10,Sullivan's Crossing,Sullivan's Crossing: Season 4,9900000,7.4333,1300000,3
